Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;;Total Cantidad
18/8/19 0:00;Martes;-21,5;-26,16;-25,23;-5,02;;;-22,41;-25,43;;-22,13;;-21,06;-28,8;-5,5;-27,01;-22,82;;-24,31;-45,17;-22,29;-24,38;-20,44;-29,71;-31,71;-19,61;-28,78;-11,6;-12,92;-13,27;;-34,92;-4;-2;-16,13;-6,33;;-8,73;;-74;-24;-49;;;-18,58;;;;-26,29;-12,13;-813,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/8/19 0:00;Miércoles;-15,93;-14,82;-10,57;-10,02;-5,05;;-23,55;-13,26;;-16,95;;-14,08;-5,31;-5,85;-25,57;-12,06;;-23;-41,7;-21,62;-12,44;-12,61;-13,16;-24,99;-6,36;-17,81;-6,05;-6,06;-14,83;;-5,03;;;-5,48;-12,14;-90;-5,28;;-58;-16;-52;;;-12,8;;;-1;-18,84;-11,12;-661,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/8/19 0:00;Jueves;-17,04;-7,2;-5,3;;;;;-6,61;;-5,27;;-7,14;-11,59;-5,96;-10,56;-5,18;;;;;-5,74;-6,5;-9,13;;-6,38;;;;;-7,86;-5,22;;;;;;;-20;-13;-12;-29;;;;;;-1;;;-197,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/8/19 0:00;Viernes;;-19,59;-15,38;-4,98;;;-5,94;-12,32;;-6,05;;-14,13;-6,2;-6,18;;-5,48;;-11,09;-16,61;;-12,16;;-4,69;-11,93;;-17,17;-5,36;;;;-11,21;;-1;-5,53;-5,89;;;;-15;-13;-17;;;-11,46;;;;-6,51;;-261,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/8/19 0:00;Sábado;-4,66;;-9,88;-14,98;-10,24;;-5,5;;;-5,22;;;-5,42;;-10,51;;;-11,04;-12,18;-7,77;-12,04;-13,72;-9,17;-6,48;-6,45;-11,75;;;;;-10,14;;;;;;-5,26;;-1;-12;-1;;;-6,54;;;;-6,67;;-199,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/8/19 0:00;Domingo;;-12,85;-10,9;-10;-5,13;;-11,04;-12,93;;;;;-11,66;;-10,27;-9,59;;-11,04;-30,61;;;;-5,37;-5,86;;-4,91;-10,51;-6,42;;;-6,91;;;-11,08;-6,44;-119;-12,06;;-36;;;;;-13,29;;;-1;-6,74;;-381,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/8/19 0:00;Lunes;-20,75;-33,26;-33,66;-5,05;;;-46,78;-12,56;;-21,96;;-19,75;-34,94;-12,28;-20,63;-26,47;;-22,1;-44,08;-21,81;-36,79;-32,6;-28,95;-24,21;-21,44;-27,62;-16,98;-6,46;-20,02;;-22,86;-8;-11;-14,94;-17,56;-30;;;-38;-23;-43;;;-25,72;;;-3;-38,31;-11,44;-877,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/8/19 0:00;Martes;-38,92;-44,24;-35,91;-24,98;;;-23,1;-32,2;;-27,75;;-38,81;-38,55;-23,4;-36,59;-26,75;;-38,25;-56,92;-22,99;-36,33;-33,37;-30,74;-25,79;-21,41;-27,23;-11,76;-13,58;-19,42;-15,32;-51,36;-3;-1;-10,99;-22,68;-60;-16,39;-20;-61;-24;-83;;;-33,39;;;-2;-32,87;-31,24;-1.197,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/8/19 0:00;Miércoles;-5,61;-14,13;-17,5;-4,93;-5,05;;-12,22;-12,92;;;;-13,63;-5,29;-6,08;-4,65;-9,17;;-23,03;-19,66;;-12,47;-11,62;-9,64;-5,6;-12,19;-5,39;-17,21;;-5,78;;-8,14;-1;;-5,74;-6,31;;;;-24;-24;-24;;;-12,96;;;-4;-6,23;;-350,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/8/19 0:00;Jueves;-5,46;-13,69;-10,93;-5,04;-5,1;;-22,2;-6,89;;-10,83;;;-5,75;-6,2;-5,42;-9,13;;-11,3;-25,67;-7,11;-25,03;-11,98;-12,92;-22,86;-8,06;-12,37;;;-6;;-13,64;;;-10,14;-5,85;-30;-5,46;;-6;-19;-16;;;-18,91;;;;-7,41;-5,62;-387,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
